TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
枚举类型(游戏独有的id合成方式，等于游戏id+三位，比如g1019,id组成就是1019XXX)	模板说明	备注	中文	英文	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语
10026001	GameName	GameName	丢锅大战	TNT Tag	TNT Tag	TNT Tag	TNT Tag	TNT Tag	TNT Tag	TNT Tag	TNT Tag	TNT Tag	TNT Tag	TNT Tag	TNT Tag	TNT Tag
10026002	UseSkillNoRunning	UseSkillNoRunning	▢FF00FFFF游戏还没开始，不能使用技能	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.	▢FF00FFFFCan’t use skills before the game starts.
10026003	BuySkillHaveSkill	BuySkillHaveSkill	▢FF00FFFF你已经拥有该技能，不需要重复购买	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.	▢FF00FFFFYou already have this skill and don't need to buy it again.
10026004	UseSkillHint	UseSkillHint	▢FFFFFF00%1s▢FF00FFFF使用了▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s	▢FFFFFF00%1s▢FF00FFFF uses ▢FFFFFF00%2s
10026005	SkillBook1	SkillBook1	▢FFFFFF00闪现技能书	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book	▢FFFFFF00Flash skill book
10026006	SkillBook2	SkillBook2	▢FFFFFF00加速技能书	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book	▢FFFFFF00Speed skill book
10026007	SkillBook3	SkillBook3	▢FFFFFF00隐身技能书	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book	▢FFFFFF00Invisibility skill book
10026008	SkillBook4	SkillBook4	▢FFFFFF00飞行技能书	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book	▢FFFFFF00Fly skill book
10026009	SkillBook5	SkillBook5	▢FFFFFF00无敌技能书	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book	▢FFFFFF00Invincible skill book
10026010	SkillBook6	SkillBook6	▢FFFFFF00传送技能书	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book	▢FFFFFF00Teleport skill book
10026011	SkillBook7	SkillBook7	▢FFFFFF00黑暗技能书	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book	▢FFFFFF00Dark skill book
10026012	BecomeTNTPlayer	BecomeTNTPlayer	▢FFFF0000你▢FF00FFFF被%1s甩锅了！	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!	▢FFFF0000You ▢FF00FFFFhave got TNT from %1s!
10026013	GetChipHint	GetChipHint	▢FF00FFFF恭喜你获得了▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s	▢FF00FFFFCongratulations on getting the ▢FFFFFF00%1s
