TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
枚举类型(游戏独有的id合成方式，等于游戏id+三位，比如g1019,id组成就是1019XXX)	模板说明	备注	中文	英文	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语
1025001	GameName	MyTycoon	英雄大亨	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon	Hero Tycoon
1025002	HasDomainHint		▢FFB22222你已经有领地了	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.	▢FFB22222You have territory already.
1025003	DomainHasPlayer		▢FFB22222该领地已经有人占领了	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.	▢FFB22222The territory has been taken.
1025004	SelectOccByHitNpcOfHole		▢FF00FFFF走进NPC光环范围，选择对应的职业	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.	▢FF00FFFFWalk into the NPC halo and choose the corresponding profession.
1025005	NotEnoughMoney		▢FFB22222金钱不足	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.	▢FFB22222Lack of resources.
1025006	RewradLadder		▢FF00FF00恭喜，你成功建造了墙，并获得了梯子	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.	▢FF00FF00Congratulations, build wall successfully and got the ladder.
1025007	BuildingSucceed		▢FF00FF00建造成功	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !	▢FF00FF00Build successful !
1025008	SpawnResource		▢FF00FFFF新的野外资源点已出现，快去抢夺资源	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!	▢FF00FFFFNew wild resource appeared, Let’s go!
1025009	HintResourceHit		▢FF00FFFF点击资源点可以获取资源	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.	▢FF00FFFFClick the resource site to get resources.
